DBH,H,BA,VUB
19,21.3,0.028,0.25
27.7,21.6,0.06,0.54
27.4,29.9,0.059,0.71
30.4,26.8,0.073,0.79
17.8,10.2,0.025,0.11
20,22.6,0.031,0.29
27.7,26.1,0.06,0.64
26.7,24,0.056,0.55
28.6,32.4,0.064,0.83
17.8,17.1,0.025,0.18
14,12.5,0.015,0.08
32.7,23.6,0.084,0.82
23.5,29.3,0.043,0.51
32.6,33.6,0.083,1.12
29.3,18.4,0.067,0.52
30.9,21.7,0.075,0.67
19.1,18.5,0.029,0.22
13.4,12.3,0.014,0.08
19.7,18.8,0.03,0.24
35.2,24.1,0.097,0.97
18,23.1,0.025,0.24
27.5,20.6,0.059,0.51
31.6,18.4,0.078,0.61
19.7,15.3,0.03,0.2
13.4,12.3,0.014,0.08
23.7,23.5,0.044,0.43
29.5,28.3,0.068,0.78
15.2,17.8,0.018,0.14
23.8,22.1,0.044,0.41
17.9,18,0.025,0.19
21.8,21.2,0.037,0.33
24.6,29.9,0.048,0.57
25.1,15.1,0.049,0.32
20.2,21.8,0.032,0.29
33.9,26.73,0.09,0.98
13.5,17.5,0.014,0.11
28.7,25.9,0.065,0.68
26,28.5,0.053,0.61
31,25.9,0.075,0.8
41,30.1,0.132,1.61
31.4,31.8,0.077,0.99
29,29.4,0.066,0.78
12.7,20.3,0.013,0.11
28.5,29.1,0.064,0.75
28.2,28.5,0.062,0.72
15.1,18.9,0.018,0.14
25.3,22.3,0.05,0.46
6.1,12.4,0.003,0.02
9.8,12.8,0.008,0.04
13.3,16.2,0.014,0.1
10.4,16.3,0.008,0.06
16.5,13.1,0.021,0.12
14.6,15.8,0.017,0.11
10.1,17,0.008,0.06
17.9,19.8,0.025,0.21
14.3,15.9,0.016,0.11
11.1,13.1,0.01,0.06
6.5,8.7,0.003,0.01
12.6,10,0.012,0.06
4.8,6.2,0.002,0.01
10.7,5.3,0.009,0.03
8.1,5.2,0.005,0.02
10.6,11.7,0.009,0.05
16.4,16.5,0.021,0.15
31.2,22.8,0.076,0.72
18.5,18.6,0.027,0.21
10.8,8.1,0.009,0.04
5.6,7.4,0.002,0.01
9.3,7.2,0.007,0.02
8.4,11.4,0.006,0.03
16,12.2,0.02,0.11
11.9,11.3,0.011,0.06
21.3,16.5,0.036,0.25
27.9,32.7,0.061,0.8
33,34.4,0.086,1.18
29.4,30.6,0.068,0.84
30.7,35.6,0.074,1.05
37.9,30.2,0.113,1.38
17.5,24.1,0.024,0.24
